EnvName,Random Mean,Random Std,Random Prob,MST Mean,MST Std,MST Prob,RR Mean,RR Std,RR Prob
Flocking025Env-v0,-21.72332876563391,22.117768704629295,0.04,-15.43057213652695,14.425105598054653,0.1,-15.98514728878668,9.02296962200506,0.12
Flocking0325Env-v0,-36.12559855632903,33.454885688690624,0.04,-25.44253004464285,27.67081640890401,0.08,-28.240903295150773,21.327537953500297,0.22
Flocking05Env-v0,-117.64220082026381,128.9867806075485,0.08,-63.91932197513482,73.83828880170509,0.06,-69.63479679738077,48.989428092957716,0.12
Flocking0625Env-v0,-180.31881901690045,228.17373884580516,0.06,-106.08610172508278,118.36504345470148,0.06,-116.45433879630451,90.69546700353898,0.2
Flocking075Env-v0,-300.0026723452852,326.1225905974234,0.06,-168.3735399728764,165.7285209661968,0.04,-173.97399955429512,136.99748337929944,0.1
