EnvName,Random Mean,Random Std,Random Prob,MST Mean,MST Std,MST Prob,RR Mean,RR Std,RR Prob
FlockingAOI025Env-v0,-58.92496208,27.72905828844335,0.08,-47.97403529499999,18.96537655267576,0.08,-47.431656705,10.651294632351478,0.3
FlockingAOI0325Env-v0,-56.2464682125,27.14295850845786,0.06,-50.226639930625005,21.43799174705907,0.08,-47.853782861875,13.048482931472472,0.25
FlockingAOI05Env-v0,-65.93709930062501,30.54304030389581,0.04,-49.200031818125005,20.10381766501505,0.06,-49.418501163125,14.719259655365146,0.3
FlockingAOI0625Env-v0,-69.130743923125,33.81653520015687,0.04,-56.32245302625,23.31377650210612,0.04,-50.880392564999994,16.91690367798393,0.18
FlockingAOI075Env-v0,-74.227915155625,35.60156975085549,0.04,-56.893011935000004,28.598506312971843,0.08,-51.973158444375,18.554849823326375,0.27
