EnvName,Random Mean,Random Std,Random Prob,MST Mean,MST Std,MST Prob,RR Mean,RR Std,RR Prob
MobileEnv10N10-v0,-10.224719840000002,1.8493469363698567,0.18,-10.24040761,2.846376249618976,0.18,-6.762681979999999,2.484802040962717,0.25
MobileEnv10N40-v0,-40.66688846812501,4.210963632428182,0.06,-41.273609000625,5.777273800675618,0.08,-48.2207000475,5.446490029962999,0.22
MobileEnv10N60-v0,-55.698787287777776,4.729167545709255,0.06,-55.997771792222224,6.170737722503561,0.06,-81.03456779166666,7.366849995095078,0.2
MobileEnv10N80-v0,-68.95493847312498,4.765809526923395,0.04,-69.48365827609375,6.147644524795987,0.06,-112.9029778628125,8.162849810376619,0.18
MobileEnv10N100-v0,-79.7077478616,4.872280229361818,0.04,-80.7520793482,6.014095028150862,0.04,-142.08384646500002,8.19653592732038,0.12
