EnvName,Random Mean,Random Std,Random Prob,MST Mean,MST Std,MST Prob,RR Mean,RR Std,RR Prob
PowerLevel02Env-v0,-76.29309774999999,14.808826271840767,0.04,-63.861978720625004,14.12684152029686,0.06,-69.77160319750001,11.87532967800886,0.22
PowerLevel025Env-v0,-44.876433125625,9.706290791866705,0.06,-44.58191800125,11.737965929957594,0.08,-46.51683675,7.442034539294713,0.2
PowerLevel05Env-v0,-15.442171586875,0.7332453591529114,0.06,-16.729483946875,1.1188053059348924,0.08,-19.343146253125,0.5754620243909782,0.12
PowerLevel075Env-v0,-12.304063364999998,0.4115595926735646,0.08,-13.880980594375,0.6524503007025381,0.08,-18.080047368124934,0.027109469101644728,0.18
PowerLevel10Env-v0,-11.492285844999998,0.3282763247624097,0.08,-13.041031439375,0.5314495824538686,0.08,-18.07359937499993,3.552713678800501e-15,0.04
