TeamSize	RoundRobin Mean	RoundRobin Std
10	-7.1002565	8.480569143
20	-19.24153485	9.004144942
40	-50.68454247	12.26205278
60	-86.79616203	14.80808243
80	-115.7267527	12.964046
100	-147.2813033	11.11223039
