TeamSize	MST Mean	MST Std
10	-8.4541639	1.474542708
20	-20.13222763	4.537238751
40	-45.43710126	10.07322796
60	-64.89739205	13.3875208
80	-80.35170246	14.80285367
100	-92.80792116	14.44053986
